monetary_code	rate_as_float	date_as_iso
USD	50394.0964	2021-09-05T17:08:00+00:00
GBP	36346.2884	2021-09-05T17:08:00+00:00
EUR	42406.7833	2021-09-05T17:08:00+00:00
USD	50321.0739	2021-09-05T17:13:00+00:00
GBP	36293.6216	2021-09-05T17:13:00+00:00
EUR	42345.3346	2021-09-05T17:13:00+00:00
USD	50364.2033	2021-09-05T17:18:00+00:00
GBP	36324.7284	2021-09-05T17:18:00+00:00
EUR	42381.6282	2021-09-05T17:18:00+00:00
USD	50341.4961	2021-09-05T17:23:00+00:00
GBP	36308.351	2021-09-05T17:23:00+00:00
EUR	42362.52	2021-09-05T17:23:00+00:00
USD	50352.736	2021-09-05T17:28:00+00:00
GBP	36316.4577	2021-09-05T17:28:00+00:00
EUR	42371.9784	2021-09-05T17:28:00+00:00
USD	50390.5917	2021-09-05T17:33:00+00:00
GBP	36343.7607	2021-09-05T17:33:00+00:00
EUR	42403.8341	2021-09-05T17:33:00+00:00
USD	50358.1574	2021-09-05T17:38:00+00:00
GBP	36320.3678	2021-09-05T17:38:00+00:00
EUR	42376.5405	2021-09-05T17:38:00+00:00
USD	50316.692	2021-09-05T17:43:00+00:00
GBP	36290.4612	2021-09-05T17:43:00+00:00
EUR	42341.6472	2021-09-05T17:43:00+00:00
USD	50346.8099	2021-09-05T17:48:00+00:00
GBP	36312.1835	2021-09-05T17:48:00+00:00
EUR	42366.9916	2021-09-05T17:48:00+00:00
USD	50353.361	2021-09-05T17:53:00+00:00
GBP	36316.9084	2021-09-05T17:53:00+00:00
EUR	42372.5043	2021-09-05T17:53:00+00:00
USD	50318.7734	2021-09-05T17:58:00+00:00
GBP	36291.9624	2021-09-05T17:58:00+00:00
EUR	42343.3987	2021-09-05T17:58:00+00:00
USD	50299.2982	2021-09-05T18:03:00+00:00
GBP	36277.9161	2021-09-05T18:03:00+00:00
EUR	42327.0103	2021-09-05T18:03:00+00:00
USD	50303.2851	2021-09-05T18:08:00+00:00
GBP	36280.7916	2021-09-05T18:08:00+00:00
EUR	42330.3653	2021-09-05T18:08:00+00:00
USD	50286.9741	2021-09-05T18:13:00+00:00
GBP	36269.0275	2021-09-05T18:13:00+00:00
EUR	42316.6395	2021-09-05T18:13:00+00:00
USD	50295.3244	2021-09-05T18:18:00+00:00
GBP	36275.0501	2021-09-05T18:18:00+00:00
EUR	42323.6664	2021-09-05T18:18:00+00:00
USD	50282.6692	2021-09-05T18:23:00+00:00
GBP	36265.9226	2021-09-05T18:23:00+00:00
EUR	42313.017	2021-09-05T18:23:00+00:00
USD	50326.9593	2021-09-05T18:28:00+00:00
GBP	36297.8665	2021-09-05T18:28:00+00:00
EUR	42350.2872	2021-09-05T18:28:00+00:00
USD	50326.7984	2021-09-05T18:33:00+00:00
GBP	36297.7504	2021-09-05T18:33:00+00:00
EUR	42350.1518	2021-09-05T18:33:00+00:00
USD	50387.6488	2021-09-05T18:38:00+00:00
GBP	36341.6382	2021-09-05T18:38:00+00:00
EUR	42401.3576	2021-09-05T18:38:00+00:00
USD	50403.7636	2021-09-05T18:43:00+00:00
GBP	36353.2609	2021-09-05T18:43:00+00:00
EUR	42414.9183	2021-09-05T18:43:00+00:00
USD	50418.2204	2021-09-05T18:48:00+00:00
GBP	36363.6877	2021-09-05T18:48:00+00:00
EUR	42427.0837	2021-09-05T18:48:00+00:00
USD	50428.9963	2021-09-05T18:53:00+00:00
GBP	36371.4597	2021-09-05T18:53:00+00:00
EUR	42436.1517	2021-09-05T18:53:00+00:00
USD	50398.3224	2021-09-05T18:58:00+00:00
GBP	36349.3365	2021-09-05T18:58:00+00:00
EUR	42410.3395	2021-09-05T18:58:00+00:00
USD	50374.3864	2021-09-05T19:03:00+00:00
GBP	36332.0728	2021-09-05T19:03:00+00:00
EUR	42390.1972	2021-09-05T19:03:00+00:00
USD	50388.9983	2021-09-05T19:08:00+00:00
GBP	36342.6115	2021-09-05T19:08:00+00:00
EUR	42402.4933	2021-09-05T19:08:00+00:00
USD	50434.9089	2021-09-05T19:13:00+00:00
GBP	36375.7242	2021-09-05T19:13:00+00:00
EUR	42441.1272	2021-09-05T19:13:00+00:00
USD	50806.7671	2021-09-05T19:18:00+00:00
GBP	36643.9235	2021-09-05T19:18:00+00:00
EUR	42754.0469	2021-09-05T19:18:00+00:00
USD	50854.2576	2021-09-05T19:23:00+00:00
GBP	36678.1756	2021-09-05T19:23:00+00:00
EUR	42794.0104	2021-09-05T19:23:00+00:00
USD	50773.7731	2021-09-05T19:28:00+00:00
GBP	36620.1269	2021-09-05T19:28:00+00:00
EUR	42726.2824	2021-09-05T19:28:00+00:00
USD	50842.7841	2021-09-05T19:33:00+00:00
GBP	36669.9004	2021-09-05T19:33:00+00:00
EUR	42784.3553	2021-09-05T19:33:00+00:00
USD	50781.8814	2021-09-05T19:38:00+00:00
GBP	36625.975	2021-09-05T19:38:00+00:00
EUR	42733.1056	2021-09-05T19:38:00+00:00
USD	50765.8141	2021-09-05T19:43:00+00:00
GBP	36614.3865	2021-09-05T19:43:00+00:00
EUR	42719.5848	2021-09-05T19:43:00+00:00
